is_RT	retweet_from	whole_tweet_text	original_text	retweet_text	cleaned_retweet_text
1	TeamTrump	RT @TeamTrump: #RattledHillary wants to talk about her 30 years in service. How about her 30 years of FLOPS↔️FLOPS?! #BigLeagueTruth #Debat…		 #RattledHillary wants to talk about her 30 years in service. How about her 30 years of FLOPS↔️FLOPS?! #BigLeagueTruth #Debat…	rattledhillary wants to talk about her 30 years in service how about her 30 years of flopsflops bigleaguetruth debat
1	TeamTrump	RT @TeamTrump: .@HillaryClinton is RAISING your taxes to a disastrous level. @realDonaldTrump is going to LOWER your taxes - BIG LEAGUE! #D…		 .@HillaryClinton is RAISING your taxes to a disastrous level. @realDonaldTrump is going to LOWER your taxes - BIG LEAGUE! #D…	is raising your taxes to a disastrous level realdonaldtrump is going to lower your taxes big league d
1	TeamTrump	RT @TeamTrump: ONLY @realDonaldTrump will end what even @BillClinton called a CRAZY SYSTEM. #BigLeagueTruth #Debate https://t.co/cgoqZLDXDV		 ONLY @realDonaldTrump will end what even @BillClinton called a CRAZY SYSTEM. #BigLeagueTruth #Debate https://t.co/cgoqZLDXDV	only realdonaldtrump will end what even billclinton called a crazy system bigleaguetruth debate
1	realDonaldTrump	RT @realDonaldTrump: ATTN: @HillaryClinton - Why did five of your staffers need FBI IMMUNITY?! #BigLeagueTruth #Debates		 ATTN: @HillaryClinton - Why did five of your staffers need FBI IMMUNITY?! #BigLeagueTruth #Debates	attn hillaryclinton why did five of your staffers need fbi immunity bigleaguetruth debates
1	TeamTrump	RT @TeamTrump: We agree with Bill, ObamaCare is “the craziest thing in the world.” #BigLeagueTruth #Debates2016 https://t.co/v2yo6pSYoB		 We agree with Bill, ObamaCare is “the craziest thing in the world.” #BigLeagueTruth #Debates2016 https://t.co/v2yo6pSYoB	we agree with bill obamacare is the craziest thing in the world bigleaguetruth debates2016
1	TeamTrump	RT @TeamTrump: RT if you believe @HillaryClinton is the one who owes America an apology! #BigLeagueTruth #Debates https://t.co/KcmDedSUTw		 if you believe @HillaryClinton is the one who owes America an apology! #BigLeagueTruth #Debates https://t.co/KcmDedSUTw	if you believe hillaryclinton is the one who owes america an apology bigleaguetruth debates
1	TeamTrump	RT @TeamTrump: Quite simply, @HillaryClinton mistreats women. #BigLeagueTruth #Debate2016 https://t.co/zhgrulIctf https://t.co/wHtwtnCxxQ		 Quite simply, @HillaryClinton mistreats women. #BigLeagueTruth #Debate2016 https://t.co/zhgrulIctf https://t.co/wHtwtnCxxQ	quite simply hillaryclinton mistreats women bigleaguetruth debate2016
1	TeamTrump	RT @TeamTrump: .@realDonaldTrump is here to talk about the REAL issues #BigLeagueTruth #Debates2016 https://t.co/C5OF7HdJz6		 .@realDonaldTrump is here to talk about the REAL issues #BigLeagueTruth #Debates2016 https://t.co/C5OF7HdJz6	is here to talk about the real issues bigleaguetruth debates2016
1	TeamTrump	"RT @TeamTrump: .@HillaryClinton just claimed she has a ""positive, optimistic view"" for America. #Debates https://t.co/hOWJYZbD7v"		" .@HillaryClinton just claimed she has a ""positive, optimistic view"" for America. #Debates https://t.co/hOWJYZbD7v"	just claimed she has a positive optimistic view for america debates
1	DanScavino	RT @DanScavino: Join @realDonaldTrump on his official social media platforms during tonight's debate ~ as @TeamTrump manages rapid response…		 Join @realDonaldTrump on his official social media platforms during tonight's debate ~ as @TeamTrump manages rapid response…	join realdonaldtrump on his official social media platforms during tonights debate as teamtrump manages rapid response
